,Last_Update,Confirmed,Deaths,Recovered,Active
466,2020-03-23 23:19:21,1620.0,1.0,26.0,1593.0
37,2020-03-24 23:37:15,2043.0,4.0,31.0,2008.0
38,2020-03-25 23:33:04,2468.0,5.0,37.0,2426.0
811,2020-03-26 23:48:18,2988.0,10.0,49.0,2929.0
810,2020-03-27 23:23:03,3421.0,12.0,69.0,3340.0
700,2020-03-31 23:43:43,5717.0,21.0,210.0,5486.0
716,2020-04-01 21:58:34,6413.0,29.0,495.0,5889.0
73,2020-04-03 22:46:20,7729.0,43.0,667.0,7019.0
516,2020-04-05 23:06:26,8740.0,56.0,820.0,7864.0
856,2020-04-07 23:04:29,9568.0,72.0,1059.0,8437.0
26,2020-04-08 22:51:39,9906.0,80.0,1191.0,8635.0
29,2020-04-09 23:02:19,10249.0,89.0,1306.0,8854.0
984,2020-04-10 22:53:48,10607.0,97.0,1460.0,9050.0
982,2020-04-11 22:45:13,10952.0,103.0,1611.0,9238.0
370,2020-04-12 23:17:00,11504.0,109.0,1909.0,9486.0
372,2020-04-13 23:07:34,11942.0,118.0,2228.0,9596.0
235,2020-04-14 23:33:12,12341.0,126.0,2551.0,9664.0
233,2020-04-15 22:56:32,12652.0,139.0,2823.0,9690.0
599,2020-04-16 23:30:31,12948.0,146.0,3174.0,9628.0
603,2020-04-17 23:30:32,13246.0,155.0,3550.0,9541.0
299,2020-04-18 22:32:28,13537.0,166.0,3820.0,9551.0
300,2020-04-19 23:40:41,13813.0,174.0,4228.0,9411.0
175,2020-04-20 23:36:27,14112.0,180.0,4687.0,9245.0
173,2020-04-21 23:30:30,14394.0,189.0,5103.0,9102.0
679,2020-04-22 23:30:32,14619.0,192.0,5514.0,8913.0
681,2020-04-24 03:30:31,14895.0,196.0,5866.0,8833.0
1097,2020-04-25 06:30:33,15143.0,199.0,6291.0,8653.0
1095,2020-04-26 02:30:31,15302.0,202.0,6655.0,8445.0
339,2020-04-27 02:30:33,15385.0,204.0,7087.0,8094.0
341,2020-04-28 02:30:32,15513.0,208.0,7635.0,7670.0
630,2020-04-29 02:32:29,15672.0,213.0,8118.0,7341.0
631,2020-04-30 02:32:27,15754.0,219.0,8471.0,7064.0
478,2020-05-01 02:32:28,15896.0,225.0,8924.0,6747.0
114,2020-05-02 02:32:27,16012.0,229.0,9393.0,6390.0
756,2020-05-03 02:32:28,16069.0,232.0,9611.0,6226.0
754,2020-05-04 02:32:28,16096.0,235.0,9945.0,5916.0
875,2020-05-05 02:32:34,16149.0,238.0,10233.0,5678.0
877,2020-05-06 02:32:31,16181.0,240.0,10561.0,5380.0
537,2020-05-07 02:32:28,16246.0,241.0,10843.0,5162.0
535,2020-05-08 02:32:32,16307.0,242.0,11103.0,4962.0
815,2020-05-09 02:32:35,16340.0,248.0,11318.0,4774.0
812,2020-05-10 02:32:30,16359.0,251.0,11402.0,4706.0
420,2020-05-11 02:32:30,16388.0,255.0,11649.0,4484.0
422,2020-05-12 03:32:27,16427.0,260.0,11940.0,4227.0
1035,2020-05-13 03:32:26,16450.0,263.0,12195.0,3992.0
1033,2020-05-14 03:32:28,16489.0,266.0,12398.0,3825.0
625,2020-05-15 02:33:02,16511.0,268.0,12648.0,3595.0
627,2020-05-16 02:32:19,16523.0,268.0,12793.0,3462.0
265,2020-05-17 02:32:32,16528.0,271.0,12880.0,3377.0
261,2020-05-18 02:32:21,16543.0,275.0,13062.0,3206.0
1077,2020-05-19 02:32:18,16570.0,278.0,13346.0,2946.0
1076,2020-05-20 02:32:19,16592.0,280.0,13485.0,2827.0
652,2020-05-21 02:32:48,16607.0,281.0,13613.0,2713.0
654,2020-05-22 02:36:51,16624.0,281.0,13780.0,2563.0
145,2020-05-23 02:32:42,16643.0,281.0,13925.0,2437.0
143,2020-05-24 02:32:43,16648.0,281.0,13976.0,2391.0
284,2020-05-25 02:32:44,16661.0,282.0,14121.0,2258.0
286,2020-05-26 02:32:35,16683.0,284.0,14252.0,2147.0
1046,2020-05-27 02:32:31,16733.0,284.0,14352.0,2097.0
1044,2020-05-28 02:32:31,16773.0,286.0,14414.0,2073.0
227,2020-05-29 02:32:50,16850.0,287.0,14532.0,2031.0
226,2020-05-30 02:32:48,16963.0,287.0,14568.0,2108.0
924,2020-05-31 02:32:45,16992.0,287.0,14608.0,2097.0
925,2020-06-01 02:32:46,17079.0,287.0,14675.0,2117.0
462,2020-06-02 02:33:08,17179.0,290.0,14765.0,2124.0
923,2020-06-03 02:33:13,17300.0,292.0,14821.0,2187.0
921,2020-06-04 02:33:14,17397.0,293.0,14851.0,2253.0
787,2020-06-05 02:33:06,17539.0,293.0,14894.0,2352.0
789,2020-06-06 02:33:00,17666.0,294.0,14936.0,2436.0
19,2020-06-07 03:53:30,17744.0,298.0,14963.0,2483.0
18,2020-06-08 03:33:22,17884.0,300.0,15017.0,2567.0
844,2020-06-09 03:33:03,18063.0,300.0,15063.0,2700.0
841,2020-06-10 04:07:00,18236.0,301.0,15109.0,2826.0
153,2020-06-11 03:33:41,18476.0,302.0,15173.0,3001.0
155,2020-06-12 05:09:52,18667.0,302.0,15239.0,3126.0
647,2020-06-13 03:33:14,18851.0,302.0,15295.0,3254.0
645,2020-06-14 03:33:15,19000.0,303.0,15334.0,3363.0
1037,2020-06-15 03:33:14,19136.0,305.0,15386.0,3445.0
1039,2020-06-16 04:33:09,19334.0,305.0,15480.0,3549.0
292,2020-06-17 04:33:21,19634.0,306.0,15534.0,3794.0
290,2020-06-18 04:33:18,19905.0,306.0,15584.0,4015.0
585,2020-06-19 04:33:17,20207.0,306.0,15654.0,4247.0
584,2020-06-20 04:33:19,20517.0,307.0,15701.0,4509.0
1028,2020-06-21 04:33:19,20676.0,308.0,15734.0,4634.0
1030,2020-06-22 04:33:20,20849.0,308.0,15792.0,4749.0
429,2020-06-23 04:33:22,21194.0,309.0,15860.0,5025.0
428,2020-06-24 04:33:28,21645.0,311.0,15950.0,5384.0
270,2020-06-25 05:26:54,22132.0,314.0,16017.0,5801.0
272,2020-06-26 04:33:43,22648.0,318.0,16103.0,6227.0
620,2020-06-27 04:33:35,23112.0,321.0,16239.0,6552.0
618,2020-06-28 04:34:04,23510.0,324.0,16287.0,6899.0
327,2020-06-29 04:33:44,23895.0,326.0,16438.0,7131.0
324,2020-06-30 04:33:48,24652.0,326.0,16595.0,7731.0
750,2020-07-01 04:33:52,25438.0,327.0,16735.0,8376.0
940,2020-07-02 04:33:46,26410.0,330.0,16834.0,9246.0
484,2020-07-03 04:33:54,27556.0,331.0,16988.0,10237.0
486,2020-07-04 04:33:51,28495.0,334.0,17096.0,11065.0
61,2020-07-05 04:33:46,29316.0,339.0,17171.0,11806.0
59,2020-07-06 04:33:57,30147.0,341.0,17341.0,12465.0
823,2020-07-07 04:34:00,31281.0,349.0,17525.0,13407.0
825,2020-07-08 05:33:48,32671.0,354.0,17695.0,14622.0
543,2020-07-09 04:34:23,33998.0,359.0,17912.0,15727.0
546,2020-07-10 04:34:24,35523.0,364.0,18139.0,17020.0
674,2020-07-11 04:34:26,36932.0,368.0,18352.0,18212.0
672,2020-07-12 04:34:30,38100.0,373.0,18543.0,19184.0
180,2020-07-13 04:43:04,39338.0,380.0,18885.0,20073.0
182,2020-07-14 04:34:46,41058.0,384.0,19248.0,21426.0
346,2020-07-15 04:34:39,42662.0,391.0,19562.0,22709.0
344,2020-07-16 04:44:59,44539.0,397.0,19922.0,24220.0
1085,2020-07-17 04:34:50,46478.0,406.0,20424.0,25648.0
1087,2020-07-18 04:34:45,48083.0,418.0,20908.0,26757.0
277,2020-07-19 04:34:58,49531.0,426.0,21346.0,27759.0
278,2020-07-20 05:34:40,50547.0,436.0,21853.0,28258.0
379,2020-07-21 04:38:46,52434.0,448.0,22464.0,29522.0
377,2020-07-22 04:34:42,54440.0,457.0,23100.0,30883.0
974,2020-07-23 05:15:04,56484.0,463.0,27015.0,29006.0
976,2020-07-24 05:30:40,58474.0,479.0,33815.0,24180.0
593,2020-07-25 04:47:39,60304.0,487.0,35554.0,24263.0
591,2020-07-26 04:35:00,61416.0,494.0,36168.0,24754.0
238,2020-07-27 04:35:02,62458.0,505.0,39100.0,22853.0
240,2020-07-28 04:58:43,64506.0,512.0,40966.0,23028.0
1053,2020-07-29 04:35:11,66631.0,520.0,42619.0,23492.0
1055,2020-07-30 04:35:05,68585.0,535.0,44095.0,23955.0
81,2020-07-31 04:35:18,70372.0,550.0,45865.0,23957.0
80,2020-08-01 04:36:27,71734.0,564.0,47225.0,23945.0
586,2020-08-02 04:34:47,72359.0,578.0,47778.0,24003.0
221,2020-08-03 04:34:35,73067.0,589.0,50366.0,22112.0
220,2020-08-04 04:41:59,74867.0,604.0,52261.0,22002.0
384,2020-08-05 04:34:43,76596.0,615.0,54016.0,21965.0
385,2020-08-06 04:35:02,78286.0,625.0,55573.0,22088.0
994,2020-08-07 04:35:11,79963.0,634.0,57443.0,21886.0
993,2020-08-08 04:34:53,81727.0,646.0,58724.0,22357.0
156,2020-08-09 04:34:54,82481.0,659.0,59356.0,22466.0
151,2020-08-10 04:34:55,83405.0,666.0,61707.0,21032.0
842,2020-08-11 04:35:08,85109.0,681.0,63131.0,21297.0
843,2020-08-12 04:27:29,86932.0,692.0,64137.0,22103.0
504,2020-08-13 04:29:15,88554.0,707.0,65305.0,22542.0
503,2020-08-14 04:51:19,90197.0,723.0,66636.0,22838.0
85,2020-08-15 04:27:31,91585.0,735.0,67636.0,23214.0
86,2020-08-16 04:27:42,92342.0,745.0,68219.0,23378.0
727,2020-08-17 04:27:20,93410.0,764.0,70473.0,22173.0
724,2020-08-18 04:27:56,95060.0,768.0,71680.0,22612.0
460,2020-08-19 04:27:00,96709.0,782.0,73011.0,22916.0
459,2020-08-20 04:27:43,98349.0,794.0,74527.0,23028.0
41,2020-08-21 04:27:41,99836.0,806.0,75903.0,23127.0
42,2020-08-22 04:27:49,101329.0,819.0,77513.0,22997.0
817,2020-08-23 04:27:48,102040.0,829.0,78185.0,23026.0
816,2020-08-24 04:27:56,103005.0,842.0,80337.0,21826.0
956,2020-08-25 04:28:02,104905.0,858.0,81674.0,22373.0
957,2020-08-26 04:28:11,106861.0,877.0,82554.0,23430.0
492,2020-08-27 04:28:15,108814.0,888.0,86431.0,21495.0
491,2020-08-28 04:28:11,110885.0,899.0,87953.0,22033.0
751,2020-08-29 04:28:19,112717.0,911.0,89824.0,21982.0
749,2020-08-30 04:28:22,113627.0,916.0,90554.0,22157.0
325,2020-08-31 04:28:27,114728.0,930.0,92922.0,20876.0
326,2020-09-01 04:28:31,116906.0,953.0,94369.0,21584.0
276,2020-09-02 04:28:25,119158.0,968.0,95485.0,22705.0
634,2020-09-03 04:28:22,122351.0,982.0,96973.0,24396.0
635,2020-09-04 04:28:26,125012.0,998.0,98838.0,25176.0
1024,2020-09-05 04:28:19,127635.0,1010.0,100115.0,26510.0
1023,2020-09-06 04:28:33,129140.0,1025.0,100974.0,27141.0
413,2020-09-07 04:28:30,131317.0,1037.0,103422.0,26858.0
414,2020-09-08 04:28:25,134705.0,1054.0,105022.0,28629.0
670,2020-09-09 04:28:48,138194.0,1074.0,106529.0,30591.0
675,2020-09-10 04:29:01,142190.0,1089.0,108116.0,32985.0
545,2020-09-11 04:46:23,146351.0,1103.0,110134.0,35114.0
544,2020-09-12 04:25:05,150326.0,1123.0,112005.0,37198.0
882,2020-09-13 04:30:52,153045.0,1138.0,113225.0,38682.0
883,2020-09-14 04:26:00,156220.0,1155.0,116620.0,38445.0
746,2020-09-15 03:22:50,161025.0,1175.0,119051.0,40799.0
745,2020-09-16 04:22:53,166564.0,1191.0,121114.0,44259.0
104,2020-09-17 04:22:00,171138.0,1217.0,123964.0,45957.0
107,2020-09-18 05:05:00,176523.0,1235.0,127776.0,47512.0
941,2020-09-19 04:22:00,181863.0,1255.0,130669.0,49939.0
942,2020-09-20 04:22:00,185672.0,1282.0,132136.0,52254.0
801,2020-09-21 04:23:00,188251.0,1303.0,134671.0,52277.0
800,2020-09-22 04:23:00,192117.0,1334.0,139476.0,51307.0
24,2020-09-23 04:23:00,199138.0,1360.0,143080.0,54698.0
25,2020-09-24 04:23:00,206263.0,1385.0,146986.0,57892.0
449,2020-09-25 04:23:00,214497.0,1416.0,151728.0,61353.0
448,2020-09-26 04:23:00,222887.0,1446.0,155979.0,65462.0
916,2020-09-27 04:23:00,228769.0,1471.0,158418.0,68880.0
917,2020-09-28 04:23:00,232183.0,1503.0,164268.0,66412.0
79,2020-09-29 04:23:42,233342.0,1532.0,166490.0,65320.0
82,2020-09-30 04:23:33,238333.0,1567.0,172464.0,64302.0
1054,2020-10-01 04:23:42,247411.0,1604.0,177829.0,67978.0
22,2020-10-02 04:23:51,255142.0,1650.0,183723.0,69769.0
798,2020-10-03 04:23:40,262200.0,1675.0,189411.0,71114.0
799,2020-10-04 04:23:44,264793.0,1712.0,192966.0,70115.0
915,2020-10-05 04:23:33,267730.0,1748.0,201274.0,64708.0
914,2020-10-06 04:23:33,273451.0,1775.0,208378.0,63298.0
445,2020-10-07 04:23:40,278175.0,1820.0,214961.0,61394.0
447,2020-10-08 04:23:56,282340.0,1846.0,219970.0,60524.0
706,2020-10-09 04:23:59,286095.0,1893.0,224873.0,59329.0
709,2020-10-10 04:23:57,289058.0,1933.0,230053.0,57072.0
297,2020-10-11 04:23:46,289974.0,1968.0,233910.0,54096.0
295,2020-10-12 04:23:45,291620.0,2014.0,241641.0,47965.0
1056,2020-10-13 04:24:02,294789.0,2044.0,247279.0,45466.0
1057,2020-10-14 04:24:05,297125.0,2082.0,253130.0,41913.0
643,2020-10-15 04:24:28,299242.0,2117.0,259060.0,38065.0
642,2020-10-16 04:24:01,300854.0,2148.0,264585.0,34121.0
135,2020-10-17 04:24:12,302354.0,2182.0,268141.0,32031.0
137,2020-10-18 04:24:25,302765.0,2214.0,270674.0,29877.0
977,2020-10-19 04:24:16,303687.0,2247.0,275693.0,25747.0
979,2020-10-20 04:24:22,305204.0,2278.0,278084.0,24842.0
633,2020-10-21 04:24:14,306397.0,2298.0,279933.0,24166.0
632,2020-10-22 04:24:27,307569.0,2323.0,283147.0,22099.0
274,2020-10-23 04:24:46,308601.0,2352.0,286346.0,19903.0
275,2020-10-24 04:24:46,309450.0,2378.0,288817.0,18255.0
411,2020-10-25 04:24:36,309696.0,2405.0,290140.0,17151.0
410,2020-10-26 04:25:02,310303.0,2440.0,292890.0,14973.0
1021,2020-10-27 04:24:45,311187.0,2468.0,294212.0,14507.0
1022,2020-10-28 04:24:39,312074.0,2496.0,295198.0,14380.0
177,2020-10-29 04:24:49,312797.0,2506.0,296524.0,13767.0
178,2020-10-30 04:24:49,313441.0,2525.0,297987.0,12929.0
885,2020-10-31 04:24:44,314121.0,2536.0,299067.0,12518.0
884,2020-11-01 04:36:19,314349.0,2561.0,299869.0,11919.0
822,2020-11-02 05:25:04,315007.0,2580.0,301411.0,11016.0
46,2020-11-03 06:00:16,315795.0,2596.0,302340.0,10859.0
44,2020-11-04 05:25:09,316641.0,2622.0,303086.0,10933.0
493,2020-11-05 06:05:03,317410.0,2639.0,303724.0,11047.0
495,2020-11-06 05:24:55,317980.0,2652.0,304585.0,10743.0
959,2020-11-07 05:24:52,318671.0,2668.0,305485.0,10518.0
958,2020-11-08 05:24:56,318883.0,2676.0,306180.0,10027.0
118,2020-11-09 05:25:45,319417.0,2683.0,306868.0,9866.0
116,2020-11-10 05:40:07,320136.0,2689.0,307807.0,9640.0
1081,2020-11-11 05:25:30,320811.0,2699.0,308145.0,9967.0
1084,2020-11-12 05:25:55,321574.0,2706.0,309259.0,9609.0
323,2020-11-13 05:25:30,322410.0,2718.0,310494.0,9198.0
321,2020-11-14 05:25:37,323171.0,2723.0,311238.0,9210.0
183,2020-11-15 05:26:53,323463.0,2735.0,311666.0,9062.0
185,2020-11-16 05:25:57,324088.0,2744.0,312647.0,8697.0
692,2020-11-17 05:25:54,324961.0,2751.0,313317.0,8893.0
690,2020-11-18 05:40:31,325790.0,2763.0,313901.0,9126.0
426,2020-11-19 05:25:23,326585.0,2770.0,314709.0,9106.0
424,2020-11-20 05:26:28,327355.0,2778.0,315469.0,9108.0
223,2020-11-21 05:25:51,328129.0,2784.0,316149.0,9196.0
225,2020-11-22 05:25:45,328551.0,2796.0,316603.0,9152.0
590,2020-11-23 05:25:26,329316.0,2813.0,317631.0,8872.0
588,2020-11-24 05:27:31,330275.0,2820.0,318292.0,9163.0
996,2020-11-25 05:27:20,331132.0,2826.0,318853.0,9453.0
998,2020-11-26 05:27:44,332211.0,2831.0,319718.0,9662.0
388,2020-11-27 05:26:53,333296.0,2840.0,320663.0,9793.0
386,2020-11-28 05:25:50,334328.0,2846.0,321373.0,10109.0
651,2020-11-29 05:25:55,334908.0,2856.0,321801.0,10251.0
649,2020-11-30 05:26:13,335933.0,2864.0,322929.0,10140.0
500,2020-12-01 05:26:18,337191.0,2872.0,323681.0,10638.0
837,2020-12-02 05:27:41,338389.0,2882.0,324396.0,11111.0
